Nome,ID,Data Aproximação,Diâmetro Min (km),Diâmetro Max (km),Velocidade Relativa (km/s),Distância Passagem (km),Potencialmente Perigoso
163679 (2002 XG84),2163679,2024-09-05,0.365220357,0.8166575449,10.0629623597,27097362.176493517,False
488803 (2005 GB120),2488803,2024-09-05,0.2130860292,0.4764748465,14.5847607343,65785643.899736687,False
(2002 QZ6),3133157,2024-09-05,0.3094246986,0.69189466,17.3967824839,59047667.437555304,False
(2010 SE),3546703,2024-09-05,0.0350392641,0.0783501764,20.7490684056,48404505.314633728,False
(2012 PN),3607086,2024-09-05,0.0305179233,0.0682401509,11.6051945131,20836200.426542899,False
(2014 QF33),3682465,2024-09-05,0.0483676488,0.1081533507,37.4903139817,67628731.306183695,False
(2015 HH10),3717048,2024-09-05,0.6173834405,1.3805113411,14.7483244742,53566707.273761371,False
(2016 WZ7),3764823,2024-09-05,0.0646479826,0.1445572836,12.7421695967,44490056.703381005,False
(2018 TG5),3831740,2024-09-05,0.1979497587,0.4426291165,11.8647409609,42963654.000323152,False
(2018 TS5),3831844,2024-09-05,0.1326034968,0.2965104328,3.926332035,65335033.603122981,False
560563 (2015 HH10),2560563,2024-09-05,0.620233153,1.3868834919,14.7483103885,53566668.722390272,False
(2021 PC7),54184281,2024-09-05,0.3520099801,0.7871182442,25.48793681,58359967.510184217,True
(2022 DO4),54248647,2024-09-05,0.009830033,0.0219806221,9.215868761,15747112.706002251,False
(2022 HR3),54276985,2024-09-05,0.0090480497,0.0202320542,10.42931095,61276274.942821361,False
(2022 QB37),54300837,2024-09-05,0.0443154309,0.099092316,6.0784756366,23630414.963799521,False
(2023 RC),54379768,2024-09-05,0.0557898221,0.1247498347,7.9387932151,23611201.376325858,False
(2023 SM5),54387141,2024-09-05,0.0142087207,0.0317716653,24.1229388491,65152124.820289442,False
(2024 JP),54439419,2024-09-05,0.009830033,0.0219806221,3.5559482063,28175940.918065349,False
(2024 QR),54467127,2024-09-05,0.1721690078,0.384981605,7.8466280431,58482982.975629029,False
(2024 RG2),54468275,2024-09-05,0.0222001023,0.049640938,16.6342647799,5756256.207921881,False
(2024 RJ2),54468273,2024-09-05,0.0509512657,0.1139304936,15.9348422079,4053096.724997221,False
(2024 RC3),54468522,2024-09-05,0.0227276732,0.0508206223,11.7883765079,7170248.064544547,False
(2024 RY4),54468794,2024-09-05,0.0313440403,0.0700874047,5.9604365998,19222055.565812859,False
(2024 RB6),54469024,2024-09-05,0.0075919786,0.0169761803,7.5622677888,2094645.694397179,False
(2024 RQ10),54470176,2024-09-05,0.0072302777,0.0161673924,9.9327180059,1332238.44576168,False
(2024 RC13),54470732,2024-09-05,0.0054847265,0.0122642213,7.0592470204,902140.066615793,False
141052 (2001 XR1),2141052,2024-09-06,0.844413128,1.8881651553,25.3484814426,45945707.93157043,False
(2007 SV1),3385827,2024-09-06,0.0305179233,0.0682401509,23.6689535321,71040217.217905158,False
(2012 NP),3606222,2024-09-06,0.1460679643,0.3266178974,15.5245524068,59739636.678699173,False
(2012 TT5),3609754,2024-09-06,0.1102947845,0.2466266358,14.0990276055,33272489.383578637,False
(2013 AO60),3623948,2024-09-06,0.1440638367,0.3221365319,25.3131925173,66534015.143179223,False
(2015 DL155),3711781,2024-09-06,0.0350392641,0.0783501764,10.9834915097,63332248.406000367,False
(2017 KZ4),3774728,2024-09-06,0.191670368,0.428587972,30.6325574545,60223868.782439852,True
(2018 PO20),3826762,2024-09-06,0.0133215567,0.0297879063,16.7542871421,61165835.257760442,False
(2020 OH),54048851,2024-09-06,0.0506471459,0.1132504611,17.1474411461,66287526.876641222,False
(2020 WK),54088810,2024-09-06,0.0201629919,0.0450858206,17.1032628999,65228796.226948871,False
554126 (2012 NP),2554126,2024-09-06,0.1394938229,0.3119176705,15.5245517678,59739633.686741773,False
(2021 QL1),54190077,2024-09-06,0.0413575665,0.0924783301,11.434030466,29456876.105731572,False
(2021 RX7),54194981,2024-09-06,0.0457672667,0.1023387195,15.5200399212,61033529.240996085,False
(2024 PJ2),54465604,2024-09-06,0.1063053145,0.2377059096,7.9461637755,13123563.742220072,False
(2024 RF),54467605,2024-09-06,0.0116454152,0.02603994,7.8565625158,4745385.282794605,False
(2024 RL2),54468509,2024-09-06,0.0054999023,0.0122981555,11.0417949575,1049914.533057724,False
(2024 RH3),54468527,2024-09-06,0.0064114311,0.0143363957,11.1509080303,1076832.09668086,False
(2024 RN11),54470422,2024-09-06,0.0174162631,0.0389439482,13.1127062099,4734444.51737109,False
(2024 RD13),54470733,2024-09-06,0.0131145978,0.0293251322,17.423018594,4042182.438396696,False
(2024 RS25),54471388,2024-09-06,0.010669768,0.0238583266,9.2622024005,2857520.556054724,False
(2007 YJ1),3398132,2024-09-07,0.0231502122,0.0517654482,3.0024162077,38805835.624770661,False
(2019 TZ6),3879168,2024-09-07,0.0076657557,0.0171411509,8.500525463,48459766.004862591,False
(2020 TS2),54055090,2024-09-07,0.4472547654,1.0000920588,37.5145210258,33172674.034526609,False
(2020 VH),54087418,2024-09-07,0.0053034072,0.0118587791,5.4832035414,8631291.787314714,False
(2022 RC2),54301304,2024-09-07,0.0211132445,0.0472106499,17.8401100381,73430509.667233392,False
(2024 QM),54467114,2024-09-07,0.0489277198,0.1094057075,8.1737591868,10950033.46035511,False
(2024 RC),54467571,2024-09-07,0.0084480208,0.0188903489,1.6323561909,7659781.423125055,False
(2024 RB3),54468521,2024-09-07,0.0077011393,0.0172202709,13.8105765155,692776.994842934,False
(2024 RR3),54468763,2024-09-07,0.0108982051,0.0243691274,16.6207729891,359172.144045725,False
(2024 RF4),54468778,2024-09-07,0.0216448697,0.0483994001,12.7212514576,6077460.547199689,False
(2024 RH4),54468779,2024-09-07,0.0265555302,0.0593799707,13.6700628448,12339115.147333022,False
(2024 RO4),54468786,2024-09-07,0.0557898221,0.1247498347,15.5057981516,15838646.047694913,False
(2024 RH6),54469026,2024-09-07,0.0051707671,0.0115621867,10.7004162409,214743.179649965,False
(2024 PS13),54469529,2024-09-07,0.0323858259,0.0724169082,6.1194925312,10447183.228502516,False
(2024 RW8),54469537,2024-09-07,0.0144928894,0.0324070858,9.4247953246,964086.345494104,False
(2024 RU12),54470723,2024-09-07,0.0314887178,0.0704109135,16.5766844246,6087163.435128315,False
(2024 RV12),54470724,2024-09-07,0.0165026989,0.0369011566,11.9307652817,1624077.740424004,False
(2024 RW12),54470725,2024-09-07,0.0679446048,0.1519287549,13.8880196339,8340120.1479462,False
(2024 RK15),54471055,2024-09-07,0.035200998,0.0787118244,2.7436946983,38958585.491971987,False
(2024 RE16),54471072,2024-09-07,0.0098029091,0.0219199712,21.9704377746,1280383.710078255,False
(2024 RG16),54471074,2024-09-07,0.0376838249,0.084263594,13.9081474725,19763069.231567969,False
(2013 GX79),3634786,2024-09-01,0.185590173,0.4149922428,17.5664583805,55530169.324373655,False
(2014 KS76),3672909,2024-09-01,0.012605352,0.0281864239,18.3711582792,54973943.814167382,False
(2015 KB19),3719473,2024-09-01,0.1102947845,0.2466266358,11.7314245786,26695466.092518539,True
(2017 QO17),3781020,2024-09-01,0.0766575574,0.1714115092,19.9519920423,70060491.237890839,False
(2020 QD3),54051298,2024-09-01,0.0152951935,0.0342010925,16.749015407,41490746.807427097,False
(2021 JT),54143220,2024-09-01,0.0090480497,0.0202320542,8.1984168325,6261948.470189161,False
(2021 PX4),54179894,2024-09-01,0.0318093633,0.0711278987,7.322503602,37598804.26820908,False
(2021 QP5),54191832,2024-09-01,0.0370301078,0.0828018383,7.7445557618,24028660.425912676,False
(2022 SL49),54312818,2024-09-01,0.0712122941,0.1592355304,11.3396927805,73672529.445394493,False
(2024 FP3),54431988,2024-09-01,0.0160899605,0.0359782453,3.6974123444,45092288.839417089,False
(2021 RZ246),54465621,2024-09-01,0.116400535,0.260279509,2.498745597,47182640.252156983,False
(2024 QK1),54467192,2024-09-01,0.0233859478,0.0522925691,7.8798865386,3188952.886744645,False
